جو,511231
آهي,427432
کي,400156
ته,385658
به,243598
تي,241773
هو,225630
کان,214904
سان,206079
نه,189979
ٿي,180066
هن,177358
ان,170751
ڪري,167273
آهن,147545
جا,144498
هڪ,143694
مان,138754
ٿو,124234
لاءِ,122186
پر,104490
پنهنجي,92636
جنهن,88304
سنڌ,84061
ويو,83842
ڪيو,82763
سندس,82108
مون,78535
پوءِ,72514
اهو,70414
يا,69861
هئي,69449
اسان,68742
ڪرڻ,65831
ڪتاب,61798
هئا,61206
ٿا,61205
انهن,58267
وقت,55654
وڃي,53367
ٿيو,52221
ڪنهن,51656
هي,50210
اچي,48968
ڪئي,48886
محمد,48640
واري,47847
پاڻ,46669
جڏهن,45459
جون,44246
ڪو,43891
سنڌي,41985
جن,40877
تائين,40858
جيڪو,39797
چيو,39469
رهيو,38419
هر,38009
ڪم,37999
خان,37922
اها,37532
کيس,37452
ڪجهه,35758
ڏينهن,35317
شاهه,35143
ماڻهو,34244
انهيءَ,34066
جيڪي,32282
صاحب,32107
ڳالهه,31688
آھي,31467
منهنجي,30431
اهي,30219
وري,29731
آيو,28302
ڇا,28278
ويا,28235
وٽ,28002
رهي,27936
ٿئي,27833
سڀ,27773
گهر,27732
شهر,27518
پيو,27462
ٻئي,27145
جيئن,27103
علي,26938
تون,26720
ماڻهن,26405
دل,25314
گڏ,25276
پئي,25006
ڪن,24791
الله,24763
پڻ,24547
وڏي,24031
دنيا,23642
وڌيڪ,23598
وٺي,23248
اڄ,23174
سال,22954
طرح,22920
ٻه,22897
وارو,22879
ملڪ,22427
هوندو,21918
هٿ,21664
تاريخ,21454
سندن,21172
بي,21168
طور,21132
ائين,21131
ويندو,21068
ڪا,21054
ڪي,20976
ڳوٺ,20946
ٻين,20674
وئي,20623
ھو,20382
نالو,20279
ڇو,20271
نظر,20252
ڏنو,20007
حاصل,19902
وڏو,19902
هتي,19881
ڪڏهن,19779
ٿيندو,19759
اڳ,19701
هجي,19654
ٻيو,19609
ٿيڻ,19424
هنن,19407
مير,19279
کڻي,19128
بعد,18906
دور,18741
نالي,18700
ڪندو,18591
اهڙي,18256
آهيان,18231
سو,18207
آ,18176
جيڪا,18089
شروع,18074
انسان,17962
پاڪستان,17917
تڏهن,17907
پنهنجو,17899
تان,17844
ٽي,17801
اتي,17628
اندر,17515
تنهن,17288
جتي,17229
ڏانهن,17081
پير,16990
توهان,16980
ها,16947
هوندي,16943
پٽ,16906
سگهي,16896
ادب,16765
ڪيائين,16685
ملي,16658
موجود,16521
خبر,16463
خاص,16368
حڪومت,16281
لڳي,16118
ڪونه,16085
بابت,16078
ڏسي,16062
شيخ,16047
ڊاڪٽر,16019
ڇڏي,15950
لڳو,15816
مشهور,15764
گهڻو,15656
رهيا,15590
جيڪڏهن,15585
سبب,15510
پيدا,15410
سيد,15324
هيءُ,15292
ھن,15261
ڪندي,15203
وارن,15093
رات,15020
ڇڏيو,14944
ڪندا,14908
خيال,14865
ٿيون,14767
تعليم,14702
مختلف,14524
اوهان,14517
ڏئي,14494
شامل,14407
ناهي,14362
هيءَ,14249
رکي,14221
هيون,14189
ٿيا,14174
تمام,14149
حيدرآباد,14064
يعني,13910
اُن,13784
عام,13777
تھ,13668
پهرين,13652
ڏي,13543
آئون,13539
هاڻي,13521
وچ,13390
آواز,13343
وغيره,13338
تو,13326
سڀني,13298
مٿي,13264
وانگر,13203
طرف,13188
قسم,13091
پيا,13053
بن,13009
تنهنجي,12857
و,12839
رڳو,12717
ڪيا,12643
غلام,12632
ڏني,12584
هيٺ,12535
ٿيندي,12508
فقط,12445
ڏيڻ,12374
ٻيا,12371
اڃا,12332
پهريون,12291
ٻي,12258
آباد,12246
قائم,12220
منهنجو,12215
ويندي,12212
ادبي,12009
ڄڻ,11937
خدا,11922
سڄي,11899
شاعر,11853
سواءِ,11843
توکي,11793
پاڻي,11785
ٻن,11720
پاسي,11668
وارا,11576
کين,11449
سي,11414
حضرت,11409
آءٌ,11404
پيش,11390
ڪيل,11330
هه,11318
زندگيءَ,11260
ھڪ,11217
وڃن,11191
زمين,11177
آھن,11096
کانپوءِ,11069
عمر,11063
اي,11032
ويئي,10994
زندگي,10886
ياد,10863
سالن,10837
هوءَ,10775
ڪيئن,10756
سر,10733
ڏٺو,10674
ٻاهر,10642
سائين,10620
آئي,10575
ٿيل,10519
علم,10500
هوندا,10431
بند,10391
چئي,10348
هلي,10330
نئين,10312
اهڙو,10279
مرزا,10250
هاڻ,10248
اچڻ,10232
ڪٿي,10223
جنگ,10207
لکي,10140
جواب,10136
آيا,10058
باقي,10053
ڪراچي,10045
بخش,9988
جهاز,9964
گهٽ,9905
وڃڻ,9878
