letter	frequency	percentage
ا	56879197	11.629%
ب	9984266	2.041%
ٻ	1957823	0.400%
ڀ	1398575	0.286%
ت	15845034	3.240%
ٿ	4597579	0.940%
ٽ	3743553	0.765%
ٺ	1430361	0.292%
ث	516220	0.106%
پ	8547778	1.748%
ج	17954821	3.671%
ڄ	733204	0.150%
جه	916371	0.187%
ڃ	764984	0.156%
چ	3532936	0.722%
ڇ	1365463	0.279%
ح	3822666	0.782%
خ	2942652	0.602%
د	12602244	2.577%
ڌ	2155266	0.441%
ڏ	4292146	0.878%
ڊ	1485165	0.304%
ڍ	510989	0.104%
ذ	697690	0.143%
ر	28556474	5.839%
ڙ	3261556	0.667%
ز	2724167	0.557%
س	16506503	3.375%
ش	4449563	0.910%
ص	2307709	0.472%
ض	864237	0.177%
ط	1564188	0.320%
ظ	851822	0.174%
ع	4652918	0.951%
غ	738898	0.151%
ف	3727767	0.762%
ڦ	244563	0.050%
ق	3929699	0.803%
ڪ	15730982	3.216%
ک	6463743	1.322%
گ	3027001	0.619%
ڳ	2046126	0.418%
گه	1558818	0.319%
ڱ	149943	0.031%
ل	15999866	3.271%
م	18404614	3.763%
ن	48893464	9.997%
ڻ	5816109	1.189%
و	40730002	8.328%
ھ	20519654	4.195%
ئ	8210961	1.679%
ي	68491735	14.004%
TOTAL	489100065	100.000%
